,User,Date,Tweet Text,Tweets Ago,Positive,Negative,Neutral,Compound
54,BBC,Sun Dec 24 14:30:09 +0000 2017,?? 7 huge songs that only made it to No.2 in the Christmas chart.  https://t.co/KSJzX0Hl8r https://t.co/YiAA6ZW5BO,55,0.141,0.859,0.0,0.3182
55,BBC,Sun Dec 24 14:00:05 +0000 2017,Worried about over-indulging this Christmas? These recipes offer healthy alternatives to your favourite festive foo… https://t.co/nN6f3sltbj,56,0.273,0.622,0.105,0.5423
56,BBC,Sun Dec 24 13:30:02 +0000 2017,"Doodlebugs. Where a clip show meets a sketch show and draws a funny face on it. ?

#DoodleBugs | @BBCOne |… https://t.co/5JpRtJ3zX4",57,0.153,0.847,0.0,0.4404
57,BBC,Sun Dec 24 12:35:04 +0000 2017,How much do you know about Britain's favourite cheese? This Cheddar quiz is not as cheesy as you might think. ?… https://t.co/PFYJ2VVjn3,58,0.0,1.0,0.0,0.0
58,BBC,Sun Dec 24 12:02:43 +0000 2017,"RT @bbccomedy: What's the worst Christmas present you've ever received? We went around BBC Towers asking some famous faces theirs! 

PS: Do…",59,0.0,0.827,0.173,-0.6588
59,BBC,Sun Dec 24 12:02:29 +0000 2017,"RT @BBCR1: SO ? MANY ? GOOSEBUMPS ?

Watch @SamSmithWorld's stunning Live Lounge back in full ? https://t.co/Hqu3GMbdkq https://t.co/YyQdPe…",60,0.157,0.843,0.0,0.3818
60,BBC,Sun Dec 24 21:43:10 +0000 2017,"Toasters: sworn enemy of the pet cat. 

#Doodlebugs is now available on @BBCiPlayer: https://t.co/5Yg5NYbjiO https://t.co/wAi6tUDMvy",61,0.0,0.8,0.2,-0.5423
61,BBC,Sun Dec 24 20:03:04 +0000 2017,Will you struggle to nod off knowing that Santa's on his way? Here are 7 tips from the Tudors on how to have a good… https://t.co/aqJ1Kp5QlL,62,0.0,0.909,0.091,-0.3182
62,BBC,Sun Dec 24 19:33:04 +0000 2017,Leonardo DiCaprio and Carey Mulligan star in a lavish adaptation of F. Scott Fitzgerald's classic novel. The Great… https://t.co/P4OV4NIZ8b,63,0.119,0.881,0.0,0.3182
63,BBC,Sun Dec 24 19:03:04 +0000 2017,"Tonight, @BillBailey, @Seal and @AleshaOfficial join @McInTweet for a Christmas special stuffed full of festive fun… https://t.co/iIr1OmdyLK",64,0.378,0.622,0.0,0.7845
64,BBC,Sun Dec 24 18:57:04 +0000 2017,RT @BBCiPlayer: ?  Cuteness alert! @SukiandtheCity is loving #indianajones this Christmas Eve ? https://t.co/4njqy0GmB7 https://t.co/4neEWm…,65,0.492,0.508,0.0,0.8655
65,BBC,Sun Dec 24 18:33:04 +0000 2017,"'People love seeing the dogs - especially with towels on their heads.'

? This dog nativity photograph has gone vir… https://t.co/2ziF5VzkGo",66,0.189,0.811,0.0,0.6369
66,BBC,Sun Dec 24 18:21:06 +0000 2017,RT @BBC6Music: Some amazing suggestions of gigs that you would time travel to. Wonder which gig @maryannehobbs would hop in the Tardis to s…,67,0.142,0.858,0.0,0.5859
67,BBC,Sun Dec 24 18:18:37 +0000 2017,"RT @BBCOne: Amsterdam, 1686. Nella Oortman enters a world of tensions, secrets and mystery which soon threatens her future.

? #TheMiniatur…",68,0.0,0.762,0.238,-0.6486
68,BBC,Sun Dec 24 17:32:03 +0000 2017,"Tonight, there's a huge surprise in store for a Welsh community centre. Mary, Mel and Sue's Big Christmas Thank You… https://t.co/DYo5HnRgsk",69,0.301,0.699,0.0,0.7096
69,BBC,Sun Dec 24 16:48:03 +0000 2017,Not eating meat doesn't mean you have to miss out. These festive recipes will help you have a very merry vegmas. ??… https://t.co/yilTnDYG4n,70,0.326,0.619,0.055,0.8357
70,BBC,Sun Dec 24 16:29:50 +0000 2017,RT @bbcthree: Is social media ruining your relationship? https://t.co/0PJZiC8s5g,71,0.0,0.8,0.2,-0.25
71,BBC,Sun Dec 24 16:26:49 +0000 2017,"RT @BBCOne: Lights, camera, action! Films for the family this Christmas on @BBCOne. ? https://t.co/ldUi0Bnhn7",72,0.0,1.0,0.0,0.0
72,BBC,Sun Dec 24 16:00:01 +0000 2017,"The struggle is real. ??

Via @BBCTheSocial https://t.co/YrfHSW7Bwu",73,0.0,0.753,0.247,-0.3182
73,BBC,Sun Dec 24 15:00:08 +0000 2017,? Are real or fake Christmas trees better for the environment? ??https://t.co/8JZoL7ZzDa https://t.co/dEoYVZp4j9,74,0.181,0.625,0.194,-0.0516
74,BBC,Sun Dec 24 14:30:09 +0000 2017,?? 7 huge songs that only made it to No.2 in the Christmas chart.  https://t.co/KSJzX0Hl8r https://t.co/YiAA6ZW5BO,75,0.141,0.859,0.0,0.3182
75,BBC,Sun Dec 24 14:00:05 +0000 2017,Worried about over-indulging this Christmas? These recipes offer healthy alternatives to your favourite festive foo… https://t.co/nN6f3sltbj,76,0.273,0.622,0.105,0.5423
76,BBC,Sun Dec 24 13:30:02 +0000 2017,"Doodlebugs. Where a clip show meets a sketch show and draws a funny face on it. ?

#DoodleBugs | @BBCOne |… https://t.co/5JpRtJ3zX4",77,0.153,0.847,0.0,0.4404
77,BBC,Sun Dec 24 12:35:04 +0000 2017,How much do you know about Britain's favourite cheese? This Cheddar quiz is not as cheesy as you might think. ?… https://t.co/PFYJ2VVjn3,78,0.0,1.0,0.0,0.0
78,BBC,Sun Dec 24 12:02:43 +0000 2017,"RT @bbccomedy: What's the worst Christmas present you've ever received? We went around BBC Towers asking some famous faces theirs! 

PS: Do…",79,0.0,0.827,0.173,-0.6588
79,BBC,Sun Dec 24 12:02:29 +0000 2017,"RT @BBCR1: SO ? MANY ? GOOSEBUMPS ?

Watch @SamSmithWorld's stunning Live Lounge back in full ? https://t.co/Hqu3GMbdkq https://t.co/YyQdPe…",80,0.157,0.843,0.0,0.3818
80,BBC,Sun Dec 24 21:43:10 +0000 2017,"Toasters: sworn enemy of the pet cat. 

#Doodlebugs is now available on @BBCiPlayer: https://t.co/5Yg5NYbjiO https://t.co/wAi6tUDMvy",81,0.0,0.8,0.2,-0.5423
81,BBC,Sun Dec 24 20:03:04 +0000 2017,Will you struggle to nod off knowing that Santa's on his way? Here are 7 tips from the Tudors on how to have a good… https://t.co/aqJ1Kp5QlL,82,0.0,0.909,0.091,-0.3182
82,BBC,Sun Dec 24 19:33:04 +0000 2017,Leonardo DiCaprio and Carey Mulligan star in a lavish adaptation of F. Scott Fitzgerald's classic novel. The Great… https://t.co/P4OV4NIZ8b,83,0.119,0.881,0.0,0.3182
83,BBC,Sun Dec 24 19:03:04 +0000 2017,"Tonight, @BillBailey, @Seal and @AleshaOfficial join @McInTweet for a Christmas special stuffed full of festive fun… https://t.co/iIr1OmdyLK",84,0.378,0.622,0.0,0.7845
84,BBC,Sun Dec 24 18:57:04 +0000 2017,RT @BBCiPlayer: ?  Cuteness alert! @SukiandtheCity is loving #indianajones this Christmas Eve ? https://t.co/4njqy0GmB7 https://t.co/4neEWm…,85,0.492,0.508,0.0,0.8655
85,BBC,Sun Dec 24 18:33:04 +0000 2017,"'People love seeing the dogs - especially with towels on their heads.'

? This dog nativity photograph has gone vir… https://t.co/2ziF5VzkGo",86,0.189,0.811,0.0,0.6369
86,BBC,Sun Dec 24 18:21:06 +0000 2017,RT @BBC6Music: Some amazing suggestions of gigs that you would time travel to. Wonder which gig @maryannehobbs would hop in the Tardis to s…,87,0.142,0.858,0.0,0.5859
87,BBC,Sun Dec 24 18:18:37 +0000 2017,"RT @BBCOne: Amsterdam, 1686. Nella Oortman enters a world of tensions, secrets and mystery which soon threatens her future.

? #TheMiniatur…",88,0.0,0.762,0.238,-0.6486
88,BBC,Sun Dec 24 17:32:03 +0000 2017,"Tonight, there's a huge surprise in store for a Welsh community centre. Mary, Mel and Sue's Big Christmas Thank You… https://t.co/DYo5HnRgsk",89,0.301,0.699,0.0,0.7096
89,BBC,Sun Dec 24 16:48:03 +0000 2017,Not eating meat doesn't mean you have to miss out. These festive recipes will help you have a very merry vegmas. ??… https://t.co/yilTnDYG4n,90,0.326,0.619,0.055,0.8357
90,BBC,Sun Dec 24 16:29:50 +0000 2017,RT @bbcthree: Is social media ruining your relationship? https://t.co/0PJZiC8s5g,91,0.0,0.8,0.2,-0.25
91,BBC,Sun Dec 24 16:26:49 +0000 2017,"RT @BBCOne: Lights, camera, action! Films for the family this Christmas on @BBCOne. ? https://t.co/ldUi0Bnhn7",92,0.0,1.0,0.0,0.0
92,BBC,Sun Dec 24 16:00:01 +0000 2017,"The struggle is real. ??

Via @BBCTheSocial https://t.co/YrfHSW7Bwu",93,0.0,0.753,0.247,-0.3182
93,BBC,Sun Dec 24 15:00:08 +0000 2017,? Are real or fake Christmas trees better for the environment? ??https://t.co/8JZoL7ZzDa https://t.co/dEoYVZp4j9,94,0.181,0.625,0.194,-0.0516
94,BBC,Sun Dec 24 14:30:09 +0000 2017,?? 7 huge songs that only made it to No.2 in the Christmas chart.  https://t.co/KSJzX0Hl8r https://t.co/YiAA6ZW5BO,95,0.141,0.859,0.0,0.3182
95,BBC,Sun Dec 24 14:00:05 +0000 2017,Worried about over-indulging this Christmas? These recipes offer healthy alternatives to your favourite festive foo… https://t.co/nN6f3sltbj,96,0.273,0.622,0.105,0.5423
96,BBC,Sun Dec 24 13:30:02 +0000 2017,"Doodlebugs. Where a clip show meets a sketch show and draws a funny face on it. ?

#DoodleBugs | @BBCOne |… https://t.co/5JpRtJ3zX4",97,0.153,0.847,0.0,0.4404
97,BBC,Sun Dec 24 12:35:04 +0000 2017,How much do you know about Britain's favourite cheese? This Cheddar quiz is not as cheesy as you might think. ?… https://t.co/PFYJ2VVjn3,98,0.0,1.0,0.0,0.0
98,BBC,Sun Dec 24 12:02:43 +0000 2017,"RT @bbccomedy: What's the worst Christmas present you've ever received? We went around BBC Towers asking some famous faces theirs! 

PS: Do…",99,0.0,0.827,0.173,-0.6588
99,BBC,Sun Dec 24 12:02:29 +0000 2017,"RT @BBCR1: SO ? MANY ? GOOSEBUMPS ?

Watch @SamSmithWorld's stunning Live Lounge back in full ? https://t.co/Hqu3GMbdkq https://t.co/YyQdPe…",100,0.157,0.843,0.0,0.3818
100,CBS,Sun Dec 24 20:40:42 +0000 2017,"Tonight, get together and enjoy Christmas Eve with a two-hour marathon of your favorite classic sitcoms! Watch The… https://t.co/SCv8TJy9Yp",1,0.289,0.711,0.0,0.7574
101,CBS,Sun Dec 24 14:17:43 +0000 2017,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE! (Not av… https://t.co/6mR4bRR5Ey,2,0.273,0.727,0.0,0.7974
102,CBS,Sun Dec 24 12:30:02 +0000 2017,"All In The Family star @RobReiner gives props to legendary television writer, producer and 2017 Kennedy Center Hono… https://t.co/98jc5i63zE",3,0.0,1.0,0.0,0.0
103,CBS,Sat Dec 23 16:21:17 +0000 2017,"Rapper @BustaRhymes pays tribute to @LLCoolJ, performing his hit song ""Mama Said Knock You Out"" at The 40th Annual… https://t.co/CRjQArUqwd",4,0.0,1.0,0.0,0.0
104,CBS,Sat Dec 23 15:00:02 +0000 2017,"Oh, what fun it is to stream! Start a 1-month FREE trial of #CBSAllAccess now. Use promo code BINGE by 1/2:… https://t.co/rSAnDJDgbI",5,0.286,0.714,0.0,0.8236
105,CBS,Sat Dec 23 12:37:04 +0000 2017,CBS stars are glowing with holiday spirit! See how the stars are getting festive this season:… https://t.co/7qYTHoxFIc,6,0.355,0.645,0.0,0.7712
106,CBS,Sat Dec 23 07:24:44 +0000 2017,Spread some holiday cheer and laugh along with Dick Van Dyke and Mary Tyler Moore in two back-to-back episodes of T… https://t.co/N89JoYvXZW,7,0.311,0.583,0.107,0.743
107,CBS,Sat Dec 23 06:39:45 +0000 2017,Come home for the holidays with Lucy and Ricky in the I Love Lucy Christmas Special! Stream the full show:… https://t.co/s7f9mjEtER,8,0.365,0.635,0.0,0.8687
108,CBS,Sat Dec 23 01:38:37 +0000 2017,"Tonight at 9/8c, gather the family for two hilarious episodes of this classic sitcom in The Dick Van Dyke Show- Now… https://t.co/YcyECVr2NN",9,0.104,0.769,0.127,-0.1531
109,CBS,Sat Dec 23 00:39:52 +0000 2017,Get ready to laugh in the holidays tonight with Lucy and the gang in the I Love Lucy Christmas Special at 8/7c! Str… https://t.co/txU2TwXWOg,10,0.469,0.531,0.0,0.9422
110,CBS,Fri Dec 22 19:35:35 +0000 2017,"Tonight, ring in the holidays with two back-to-back episodes of a timeless comedy classic, now in color! Watch the… https://t.co/skJsgJdQel",11,0.241,0.759,0.0,0.6588
111,CBS,Fri Dec 22 18:03:20 +0000 2017,"Groundbreaking, daring, fearless. This is CBS All Access Originals. 

Sign up now to watch @StarTrekCBS,… https://t.co/kvPsJafYrN",12,0.278,0.722,0.0,0.6597
112,CBS,Fri Dec 22 14:04:52 +0000 2017,2017 Honoree @LLCoolJ is the first hip-hop artist recognized at the #KCHonors! Learn more about the @NCISLA star's… https://t.co/eK91KdBNpG,13,0.159,0.841,0.0,0.5255
113,CBS,Thu Dec 21 12:04:04 +0000 2017,"She's at it again! Tomorrow, relive Lucy's hilarious antics during the I Love Lucy Christmas Special at 8/7c on CBS… https://t.co/g01UGGLEDk",14,0.368,0.632,0.0,0.8718
114,CBS,Thu Dec 21 01:04:27 +0000 2017,"RT @survivorcbs: 6 heroes, 6 healers, 6 hustlers, but only 1 sole #Survivor. Ready to find out who it is? Tune in to the #SurvivorFinale no…",15,0.213,0.787,0.0,0.6597
115,CBS,Wed Dec 20 23:00:04 +0000 2017,Watch @kelly_clarkson deliver a moving performance of 'Christmas Eve' during A Home for the Holidays with… https://t.co/TAcstl7VYh,16,0.157,0.843,0.0,0.3818
116,CBS,Wed Dec 20 21:08:10 +0000 2017,"In two days, celebrate the holidays with the gang with two back-to-back episodes of the classic sitcom during the I… https://t.co/FRr8jX7MXZ",17,0.249,0.751,0.0,0.743
117,CBS,Wed Dec 20 20:10:15 +0000 2017,2017 Honoree @LLCoolJ salutes James Brown for paving the way for artists like himself. Don't miss The 40th Annual K… https://t.co/310Wfk7EoW,18,0.281,0.719,0.0,0.7222
118,CBS,Wed Dec 20 19:31:47 +0000 2017,Singer-songwriter @JoshGroban delivers a powerhouse performance while raising awareness of adoption through foster… https://t.co/FiQKJdx7Ty,19,0.0,1.0,0.0,0.0
119,CBS,Wed Dec 20 15:30:01 +0000 2017,Do you know all the nominees for Album Of The Year? Get familiar with this year's GRAMMY®  Award nominees ahead of… https://t.co/GYnxLT3n4p,20,0.143,0.857,0.0,0.5423
120,CBS,Sun Dec 24 20:40:42 +0000 2017,"Tonight, get together and enjoy Christmas Eve with a two-hour marathon of your favorite classic sitcoms! Watch The… https://t.co/SCv8TJy9Yp",21,0.289,0.711,0.0,0.7574
121,CBS,Sun Dec 24 14:17:43 +0000 2017,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE! (Not av… https://t.co/6mR4bRR5Ey,22,0.273,0.727,0.0,0.7974
122,CBS,Sun Dec 24 12:30:02 +0000 2017,"All In The Family star @RobReiner gives props to legendary television writer, producer and 2017 Kennedy Center Hono… https://t.co/98jc5i63zE",23,0.0,1.0,0.0,0.0
123,CBS,Sat Dec 23 16:21:17 +0000 2017,"Rapper @BustaRhymes pays tribute to @LLCoolJ, performing his hit song ""Mama Said Knock You Out"" at The 40th Annual… https://t.co/CRjQArUqwd",24,0.0,1.0,0.0,0.0
124,CBS,Sat Dec 23 15:00:02 +0000 2017,"Oh, what fun it is to stream! Start a 1-month FREE trial of #CBSAllAccess now. Use promo code BINGE by 1/2:… https://t.co/rSAnDJDgbI",25,0.286,0.714,0.0,0.8236
125,CBS,Sat Dec 23 12:37:04 +0000 2017,CBS stars are glowing with holiday spirit! See how the stars are getting festive this season:… https://t.co/7qYTHoxFIc,26,0.355,0.645,0.0,0.7712
126,CBS,Sat Dec 23 07:24:44 +0000 2017,Spread some holiday cheer and laugh along with Dick Van Dyke and Mary Tyler Moore in two back-to-back episodes of T… https://t.co/N89JoYvXZW,27,0.311,0.583,0.107,0.743
127,CBS,Sat Dec 23 06:39:45 +0000 2017,Come home for the holidays with Lucy and Ricky in the I Love Lucy Christmas Special! Stream the full show:… https://t.co/s7f9mjEtER,28,0.365,0.635,0.0,0.8687
128,CBS,Sat Dec 23 01:38:37 +0000 2017,"Tonight at 9/8c, gather the family for two hilarious episodes of this classic sitcom in The Dick Van Dyke Show- Now… https://t.co/YcyECVr2NN",29,0.104,0.769,0.127,-0.1531
129,CBS,Sat Dec 23 00:39:52 +0000 2017,Get ready to laugh in the holidays tonight with Lucy and the gang in the I Love Lucy Christmas Special at 8/7c! Str… https://t.co/txU2TwXWOg,30,0.469,0.531,0.0,0.9422
130,CBS,Fri Dec 22 19:35:35 +0000 2017,"Tonight, ring in the holidays with two back-to-back episodes of a timeless comedy classic, now in color! Watch the… https://t.co/skJsgJdQel",31,0.241,0.759,0.0,0.6588
131,CBS,Fri Dec 22 18:03:20 +0000 2017,"Groundbreaking, daring, fearless. This is CBS All Access Originals. 

Sign up now to watch @StarTrekCBS,… https://t.co/kvPsJafYrN",32,0.278,0.722,0.0,0.6597
132,CBS,Fri Dec 22 14:04:52 +0000 2017,2017 Honoree @LLCoolJ is the first hip-hop artist recognized at the #KCHonors! Learn more about the @NCISLA star's… https://t.co/eK91KdBNpG,33,0.159,0.841,0.0,0.5255
133,CBS,Thu Dec 21 12:04:04 +0000 2017,"She's at it again! Tomorrow, relive Lucy's hilarious antics during the I Love Lucy Christmas Special at 8/7c on CBS… https://t.co/g01UGGLEDk",34,0.368,0.632,0.0,0.8718
134,CBS,Thu Dec 21 01:04:27 +0000 2017,"RT @survivorcbs: 6 heroes, 6 healers, 6 hustlers, but only 1 sole #Survivor. Ready to find out who it is? Tune in to the #SurvivorFinale no…",35,0.213,0.787,0.0,0.6597
135,CBS,Wed Dec 20 23:00:04 +0000 2017,Watch @kelly_clarkson deliver a moving performance of 'Christmas Eve' during A Home for the Holidays with… https://t.co/TAcstl7VYh,36,0.157,0.843,0.0,0.3818
136,CBS,Wed Dec 20 21:08:10 +0000 2017,"In two days, celebrate the holidays with the gang with two back-to-back episodes of the classic sitcom during the I… https://t.co/FRr8jX7MXZ",37,0.249,0.751,0.0,0.743
137,CBS,Wed Dec 20 20:10:15 +0000 2017,2017 Honoree @LLCoolJ salutes James Brown for paving the way for artists like himself. Don't miss The 40th Annual K… https://t.co/310Wfk7EoW,38,0.281,0.719,0.0,0.7222
138,CBS,Wed Dec 20 19:31:47 +0000 2017,Singer-songwriter @JoshGroban delivers a powerhouse performance while raising awareness of adoption through foster… https://t.co/FiQKJdx7Ty,39,0.0,1.0,0.0,0.0
139,CBS,Wed Dec 20 15:30:01 +0000 2017,Do you know all the nominees for Album Of The Year? Get familiar with this year's GRAMMY®  Award nominees ahead of… https://t.co/GYnxLT3n4p,40,0.143,0.857,0.0,0.5423
140,CBS,Sun Dec 24 20:40:42 +0000 2017,"Tonight, get together and enjoy Christmas Eve with a two-hour marathon of your favorite classic sitcoms! Watch The… https://t.co/SCv8TJy9Yp",41,0.289,0.711,0.0,0.7574
141,CBS,Sun Dec 24 14:17:43 +0000 2017,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE! (Not av… https://t.co/6mR4bRR5Ey,42,0.273,0.727,0.0,0.7974
142,CBS,Sun Dec 24 12:30:02 +0000 2017,"All In The Family star @RobReiner gives props to legendary television writer, producer and 2017 Kennedy Center Hono… https://t.co/98jc5i63zE",43,0.0,1.0,0.0,0.0
143,CBS,Sat Dec 23 16:21:17 +0000 2017,"Rapper @BustaRhymes pays tribute to @LLCoolJ, performing his hit song ""Mama Said Knock You Out"" at The 40th Annual… https://t.co/CRjQArUqwd",44,0.0,1.0,0.0,0.0
144,CBS,Sat Dec 23 15:00:02 +0000 2017,"Oh, what fun it is to stream! Start a 1-month FREE trial of #CBSAllAccess now. Use promo code BINGE by 1/2:… https://t.co/rSAnDJDgbI",45,0.286,0.714,0.0,0.8236
145,CBS,Sat Dec 23 12:37:04 +0000 2017,CBS stars are glowing with holiday spirit! See how the stars are getting festive this season:… https://t.co/7qYTHoxFIc,46,0.355,0.645,0.0,0.7712
146,CBS,Sat Dec 23 07:24:44 +0000 2017,Spread some holiday cheer and laugh along with Dick Van Dyke and Mary Tyler Moore in two back-to-back episodes of T… https://t.co/N89JoYvXZW,47,0.311,0.583,0.107,0.743
147,CBS,Sat Dec 23 06:39:45 +0000 2017,Come home for the holidays with Lucy and Ricky in the I Love Lucy Christmas Special! Stream the full show:… https://t.co/s7f9mjEtER,48,0.365,0.635,0.0,0.8687
148,CBS,Sat Dec 23 01:38:37 +0000 2017,"Tonight at 9/8c, gather the family for two hilarious episodes of this classic sitcom in The Dick Van Dyke Show- Now… https://t.co/YcyECVr2NN",49,0.104,0.769,0.127,-0.1531
149,CBS,Sat Dec 23 00:39:52 +0000 2017,Get ready to laugh in the holidays tonight with Lucy and the gang in the I Love Lucy Christmas Special at 8/7c! Str… https://t.co/txU2TwXWOg,50,0.469,0.531,0.0,0.9422
150,CBS,Fri Dec 22 19:35:35 +0000 2017,"Tonight, ring in the holidays with two back-to-back episodes of a timeless comedy classic, now in color! Watch the… https://t.co/skJsgJdQel",51,0.241,0.759,0.0,0.6588
151,CBS,Fri Dec 22 18:03:20 +0000 2017,"Groundbreaking, daring, fearless. This is CBS All Access Originals. 

Sign up now to watch @StarTrekCBS,… https://t.co/kvPsJafYrN",52,0.278,0.722,0.0,0.6597
152,CBS,Fri Dec 22 14:04:52 +0000 2017,2017 Honoree @LLCoolJ is the first hip-hop artist recognized at the #KCHonors! Learn more about the @NCISLA star's… https://t.co/eK91KdBNpG,53,0.159,0.841,0.0,0.5255
153,CBS,Thu Dec 21 12:04:04 +0000 2017,"She's at it again! Tomorrow, relive Lucy's hilarious antics during the I Love Lucy Christmas Special at 8/7c on CBS… https://t.co/g01UGGLEDk",54,0.368,0.632,0.0,0.8718
154,CBS,Thu Dec 21 01:04:27 +0000 2017,"RT @survivorcbs: 6 heroes, 6 healers, 6 hustlers, but only 1 sole #Survivor. Ready to find out who it is? Tune in to the #SurvivorFinale no…",55,0.213,0.787,0.0,0.6597
155,CBS,Wed Dec 20 23:00:04 +0000 2017,Watch @kelly_clarkson deliver a moving performance of 'Christmas Eve' during A Home for the Holidays with… https://t.co/TAcstl7VYh,56,0.157,0.843,0.0,0.3818
156,CBS,Wed Dec 20 21:08:10 +0000 2017,"In two days, celebrate the holidays with the gang with two back-to-back episodes of the classic sitcom during the I… https://t.co/FRr8jX7MXZ",57,0.249,0.751,0.0,0.743
157,CBS,Wed Dec 20 20:10:15 +0000 2017,2017 Honoree @LLCoolJ salutes James Brown for paving the way for artists like himself. Don't miss The 40th Annual K… https://t.co/310Wfk7EoW,58,0.281,0.719,0.0,0.7222
158,CBS,Wed Dec 20 19:31:47 +0000 2017,Singer-songwriter @JoshGroban delivers a powerhouse performance while raising awareness of adoption through foster… https://t.co/FiQKJdx7Ty,59,0.0,1.0,0.0,0.0
159,CBS,Wed Dec 20 15:30:01 +0000 2017,Do you know all the nominees for Album Of The Year? Get familiar with this year's GRAMMY®  Award nominees ahead of… https://t.co/GYnxLT3n4p,60,0.143,0.857,0.0,0.5423
160,CBS,Sun Dec 24 20:40:42 +0000 2017,"Tonight, get together and enjoy Christmas Eve with a two-hour marathon of your favorite classic sitcoms! Watch The… https://t.co/SCv8TJy9Yp",61,0.289,0.711,0.0,0.7574
161,CBS,Sun Dec 24 14:17:43 +0000 2017,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE! (Not av… https://t.co/6mR4bRR5Ey,62,0.273,0.727,0.0,0.7974
162,CBS,Sun Dec 24 12:30:02 +0000 2017,"All In The Family star @RobReiner gives props to legendary television writer, producer and 2017 Kennedy Center Hono… https://t.co/98jc5i63zE",63,0.0,1.0,0.0,0.0
163,CBS,Sat Dec 23 16:21:17 +0000 2017,"Rapper @BustaRhymes pays tribute to @LLCoolJ, performing his hit song ""Mama Said Knock You Out"" at The 40th Annual… https://t.co/CRjQArUqwd",64,0.0,1.0,0.0,0.0
164,CBS,Sat Dec 23 15:00:02 +0000 2017,"Oh, what fun it is to stream! Start a 1-month FREE trial of #CBSAllAccess now. Use promo code BINGE by 1/2:… https://t.co/rSAnDJDgbI",65,0.286,0.714,0.0,0.8236
165,CBS,Sat Dec 23 12:37:04 +0000 2017,CBS stars are glowing with holiday spirit! See how the stars are getting festive this season:… https://t.co/7qYTHoxFIc,66,0.355,0.645,0.0,0.7712
166,CBS,Sat Dec 23 07:24:44 +0000 2017,Spread some holiday cheer and laugh along with Dick Van Dyke and Mary Tyler Moore in two back-to-back episodes of T… https://t.co/N89JoYvXZW,67,0.311,0.583,0.107,0.743
167,CBS,Sat Dec 23 06:39:45 +0000 2017,Come home for the holidays with Lucy and Ricky in the I Love Lucy Christmas Special! Stream the full show:… https://t.co/s7f9mjEtER,68,0.365,0.635,0.0,0.8687
168,CBS,Sat Dec 23 01:38:37 +0000 2017,"Tonight at 9/8c, gather the family for two hilarious episodes of this classic sitcom in The Dick Van Dyke Show- Now… https://t.co/YcyECVr2NN",69,0.104,0.769,0.127,-0.1531
169,CBS,Sat Dec 23 00:39:52 +0000 2017,Get ready to laugh in the holidays tonight with Lucy and the gang in the I Love Lucy Christmas Special at 8/7c! Str… https://t.co/txU2TwXWOg,70,0.469,0.531,0.0,0.9422
170,CBS,Fri Dec 22 19:35:35 +0000 2017,"Tonight, ring in the holidays with two back-to-back episodes of a timeless comedy classic, now in color! Watch the… https://t.co/skJsgJdQel",71,0.241,0.759,0.0,0.6588
171,CBS,Fri Dec 22 18:03:20 +0000 2017,"Groundbreaking, daring, fearless. This is CBS All Access Originals. 

Sign up now to watch @StarTrekCBS,… https://t.co/kvPsJafYrN",72,0.278,0.722,0.0,0.6597
172,CBS,Fri Dec 22 14:04:52 +0000 2017,2017 Honoree @LLCoolJ is the first hip-hop artist recognized at the #KCHonors! Learn more about the @NCISLA star's… https://t.co/eK91KdBNpG,73,0.159,0.841,0.0,0.5255
173,CBS,Thu Dec 21 12:04:04 +0000 2017,"She's at it again! Tomorrow, relive Lucy's hilarious antics during the I Love Lucy Christmas Special at 8/7c on CBS… https://t.co/g01UGGLEDk",74,0.368,0.632,0.0,0.8718
174,CBS,Thu Dec 21 01:04:27 +0000 2017,"RT @survivorcbs: 6 heroes, 6 healers, 6 hustlers, but only 1 sole #Survivor. Ready to find out who it is? Tune in to the #SurvivorFinale no…",75,0.213,0.787,0.0,0.6597
175,CBS,Wed Dec 20 23:00:04 +0000 2017,Watch @kelly_clarkson deliver a moving performance of 'Christmas Eve' during A Home for the Holidays with… https://t.co/TAcstl7VYh,76,0.157,0.843,0.0,0.3818
176,CBS,Wed Dec 20 21:08:10 +0000 2017,"In two days, celebrate the holidays with the gang with two back-to-back episodes of the classic sitcom during the I… https://t.co/FRr8jX7MXZ",77,0.249,0.751,0.0,0.743
177,CBS,Wed Dec 20 20:10:15 +0000 2017,2017 Honoree @LLCoolJ salutes James Brown for paving the way for artists like himself. Don't miss The 40th Annual K… https://t.co/310Wfk7EoW,78,0.281,0.719,0.0,0.7222
178,CBS,Wed Dec 20 19:31:47 +0000 2017,Singer-songwriter @JoshGroban delivers a powerhouse performance while raising awareness of adoption through foster… https://t.co/FiQKJdx7Ty,79,0.0,1.0,0.0,0.0
179,CBS,Wed Dec 20 15:30:01 +0000 2017,Do you know all the nominees for Album Of The Year? Get familiar with this year's GRAMMY®  Award nominees ahead of… https://t.co/GYnxLT3n4p,80,0.143,0.857,0.0,0.5423
